Alpestris,true,54,true,Wolf
Be a elegant finlandian with R. K. Nissi,false,0,false,null
Bolos,false,0,true,null
COBOL,false,0,false,null
Calculo 1,false,0,false,null
Calculo 2,true,7,true,Otavio
Criando Monstros - E. Bacchini,false,0,false,null
Fabricacao de granadas - D. F. Tedeschi,false,0,false,null
Genialidade em pessoa,false,0,true,null
Historia de Camanducaia,false,0,false,null
How to Draw with L. R. Guabiraba,false,0,false,null
How to shoot a Strange Bird?,true,9,false,Touhou Community
IA,false,0,true,null
Learn JAVA with L. O. Junior,false,0,false,null
Lendas Urbanas em Carapicuiba,false,0,false,null
Myosotis,true,9,false,Danilo
Perfect Cherry Blossom,true,9,false,Touhou Community
Tchau,false,0,true,null
Tchau,false,0,true,null
Totoro,true,10,false,Danilo
